5;72;90;71;89;72;89;72;89;72;0;0
5;72;90;71;90;71;90;71;90;71;0;0
5;72;90;71;90;71;90;71;90;71;0;0
5;72;90;71;90;71;90;72;89;72;0;0
5;72;90;72;89;72;89;71;90;71;0;0
5;73;89;72;89;71;90;71;90;71;0;0
5;74;92;73;74;92;74;73;92;74;0;0
5;74;92;73;74;92;74;73;92;74;0;0
5;74;92;74;73;92;74;74;92;73;0;0
5;74;92;74;92;74;73;92;74;74;0;0
5;74;92;74;92;74;73;93;73;74;0;0
5;75;93;75;74;93;75;74;93;75;0;0
5;85;68;85;85;68;85;86;85;68;0;0
5;86;68;85;85;68;85;86;85;68;0;0
5;87;103;104;86;103;104;103;104;86;0;0
5;88;70;70;70;88;70;88;70;88;0;0
5;88;70;88;70;88;53;88;70;88;0;0
5;88;85;68;85;85;68;86;85;68;0;0
5;88;88;70;88;88;70;88;70;88;0;0
5;89;70;88;87;71;87;71;87;71;0;0
5;89;87;70;88;70;885;89;87;70;88;70;88;88;70;87;0;0
5;90;107;89;107;89;107;90;107;89;0;0
5;90;161;107;161;108;161;89;179;90;0;0
5;90;53;90;71;90;71;72;71;89;0;0
5;90;71;71;72;90;73;75;73;75;0;0
5;90;71;72;90;71;90;71;90;72;0;0
5;90;71;90;71;90;71;90;71;72;0;0
5;90;71;90;71;90;72;89;72;89;0;0
5;90;71;90;72;89;72;89;72;89;0;0
5;90;72;89;54;89;73;75;71;91;0;0
5;90;72;89;72;72;71;90;71;72;0;0
5;90;72;89;72;89;72;89;72;89;0;0
5;90;72;89;72;89;72;89;72;89;0;0
5;90;89;71;90;71;89;72;89;72;0;0
5;90;89;72;71;90;71;90;71;90;0;0
5;90;89;72;72;89;72;89;72;89;0;0
5;90;89;72;89;72;71;90;71;90;0;0
5;90;89;72;89;72;89;72;89;72;0;0
5;90;89;72;89;72;89;72;89;72;0;0
5;90;89;72;89;72;89;72;89;72;0;0
5;90;89;72;89;72;89;72;89;72;0;0
5;90;89;72;89;72;89;72;89;72;0;0
5;92;74;92;73;74;92;73;74;92;0;0
5;92;92;74;74;92;73;74;92;74;0;0
5;93;71;72;89;71;90;71;90;71;0;0
5;93;72;75;72;89;72;71;71;90;0;0
