n;600;241;75;94;208;0;0;0;0;0;0
1;75;94;244;76;228;96;230;78;252;0;0
e;1916;74;225;0;0;0;0;0;0;0;0
e;75;206;0;0;0;0;0;0;0;0;0
e;100;0;0;0;0;0;0;0;0;0;0
n;1265;242;75;93;341;0;0;0;0;0;0
a;93;75;244;76;247;77;249;78;233;78;98
r;75;75;263;76;76;287;0;0;0;0;0
r;93;56;263;76;76;306;0;0;0;0;0
i;93;75;75;265;0;0;0;0;0;0;0
v;94;93;75;76;76;77;249;252;0;0;0
e;93;0;0;0;0;0;0;0;0;0;0
p;1043;92;57;262;76;247;77;76;252;0;0
_;93;75;244;171;95;76;77;77;78;0;0
a;1191;93;75;244;492;0;0;0;0;0;0
r;93;56;263;76;76;306;0;0;0;0;0
e;75;280;0;0;0;0;0;0;0;0;0
g;261;75;244;76;76;306;0;0;0;0;0
a;74;75;244;209;0;0;0;0;0;0;0
r;93;75;244;76;76;287;0;0;0;0;0
d;260;75;75;76;94;249;0;0;0;0;0
e;93;225;0;0;0;0;0;0;0;0;0
r;93;75;244;76;95;0;0;0;0;0;0
l;907;93;56;244;76;94;77;77;251;0;0
e;93;225;0;0;0;0;0;0;0;0;0
s;93;75;75;76;95;0;0;0;0;0;0
d;962;241;75;75;76;95;0;0;0;0;0
e;925;93;300;0;0;0;0;0;0;0;0
u;74;94;75;76;246;307;0;0;0;0;0
x;241;75;94;57;95;76;250;793;0;0;0
l;82;75;244;76;76;76;77;290;0;0;0
o;242;94;225;76;247;268;0;0;0;0;0
g;242;75;244;76;95;248;0;0;0;0;0
i;94;75;93;284;0;0;0;0;0;0;0
o;242;75;263;76;228;191;0;0;0;0;0
e;93;225;0;0;0;0;0;0;0;0;0
e;93;225;0;0;0;0;0;0;0;0;0
e;93;0;0;0;0;0;0;0;0;0;0
l;1412;93;75;244;76;95;76;77;290;0;0
o;242;75;263;76;247;478;0;0;0;0;0
g;260;75;244;76;76;0;0;0;0;0;0
i;515;93;75;94;359;0;0;0;0;0;0
c;260;57;94;75;247;77;77;348;0;0;0
i;93;75;75;322;0;0;0;0;0;0;0
e;93;243;0;0;0;0;0;0;0;0;0
l;93;75;244;76;76;77;96;270;0;0;0
s;75;94;75;76;94;0;0;0;0;0;0
d;1074;241;75;94;76;76;229;0;0;0;0
e;94;0;0;0;0;0;0;0;0;0;0
d;654;241;56;94;76;95;248;0;0;0;0
e;94;262;0;0;0;0;0;0;0;0;0
c;241;75;94;76;247;76;77;290;0;0;0
o;242;75;244;76;246;268;0;0;0;0;0
d;242;75;94;75;76;230;0;0;0;0;0
a;93;56;263;227;0;0;0;0;0;0;0
g;260;56;263;76;76;0;0;0;0;0;0
c;977;249;74;94;76;247;77;77;212;0;0
w;94;75;244;76;247;1263;0;0;0;0;0
h;74;75;94;76;76;77;96;193;0;0;0
i;93;75;75;265;0;0;0;0;0;0;0
s;261;56;94;75;95;77;77;77;253;587;241
j;627;74;75;244;76;247;76;250;174;0;0
e;93;75;245;75;247;77;231;77;252;79;78
c;241;75;94;76;247;77;76;291;0;0;0
r;93;56;263;76;76;287;0;0;0;0;0
i;75;93;75;246;0;0;0;0;0;0;0
s;94;75;75;76;94;0;0;0;0;0;0
s;963;93;75;75;76;95;229;0;0;0;0
u;94;74;76;75;247;249;0;0;0;0;0
r;93;75;244;76;76;0;0;0;0;0;0
l;497;92;75;244;76;95;77;76;233;0;0
e;93;0;0;0;0;0;0;0;0;0;0
p;710;92;75;244;76;247;77;76;252;0;0
a;93;75;244;265;0;0;0;0;0;0;0
p;93;75;244;95;228;77;95;271;0;0;0
i;94;74;94;265;0;0;0;0;0;0;0
e;75;224;0;0;0;0;0;0;0;0;0
r;94;75;244;75;95;0;0;0;0;0;0
b;797;241;56;94;76;95;76;77;77;253;1447
k;241;94;75;76;247;1071;0;0;0;0;0
f;82;75;94;76;247;77;76;271;0;0;0
5;94;74;94;76;76;77;96;58;97;235;0
b;260;75;75;76;95;77;77;251;0;0;0
u;94;75;94;76;247;977;0;0;0;0;0
d;242;56;94;76;95;249;0;0;0;0;0
